"hab2study","H1","xmax","h","h_hv","T","hv","D","KC","Re","atten","k","Cd","n","H1sd","xmaxsd","hsd","h_hvsd","Tsd","hvsd","Dsd","KCsd","Resd","attensd","ksd","Cdsd","Cdnozero","KClog","Relog","klog","Cdlog","KCsdlog","Resdlog","ksdlog","Cdsdlog","Hab2","Hab3","Study","Real"
"Marsh (Art.)Bouma et al. 2005",0.0325,2,0.12,1.2,1,0.1,1150,21.38149969,460.50150655,0.263257575757576,0.158576670134253,1.4043078835,2,0.000707106781186548,0,0,0,0,0,989.949493661167,2.40833682452089,51.8692680169955,0.158027651856084,0.108081475842123,0.31250428984601,1.4043078835,1.32865630469347,2.66184919685049,-0.857156575513243,0.142018002212094,0.0490212320885111,0.0490212321796958,0.3227628377767,0.0974543986996195,"Marsh (Art.)","Marsh","Bouma et al. 2005",FALSE
"MarshAllen et al. 2008",0.186058061671438,30.8,1.5,0.545454545454545,NA,2.75,100,NA,NA,0.620219153563831,0.0377192987902159,NA,5,0.0541916526676523,9.39148550549912,0,0,NA,0,0,NA,NA,0.210138003914371,0.0219850651302324,NA,NA,NA,NA,-1.49543591555237,NA,NA,NA,0.295771352050054,NA,"Marsh","Marsh","Allen et al. 2008",TRUE
"MarshBouma et al. 2005",0.039875,14,0.64125,2.26071428571429,2,0.225,1940.625,23.263821855,296.5286160375,0.473237621921182,0.27473055559176,2.488577332125,8,0.010881668727071,12.8285396117964,0.739738129340377,1.79389554447571,1.0690449676497,0.133630620956212,869.517261391137,9.13152641571437,56.5405476375872,0.326514163869368,0.328096521174736,2.71020474080365,2.585022946375,1.33717831854044,2.4656606066335,-0.896306134384088,0.327307073265304,0.17143554471653,0.0782365945107279,0.771808140701516,0.389044638921097,"Marsh","Marsh","Bouma et al. 2005",TRUE
"MarshBouma et al. 2010",0.0671166666666667,2.5,0.2,NA,1,0.275,6252.64811666667,18.3655630045,1054.95460785,0.399368351956249,0.248289855257748,2.33499572733333,6,0.00194876028968847,0,0,NA,0,0.191702895126808,7173.29916653782,8.76124132905985,486.665386239134,0.175433838196239,0.121283047295719,2.5280631284326,2.33499572733333,1.2195369871764,2.9820677254794,-0.650233205598276,-0.368525697071127,0.218681442862489,0.209901868394812,0.219639374707698,1.13292355988813,"Marsh","Marsh","Bouma et al. 2010",TRUE
"MarshCooper 2005",0.167597344904667,520,0.684288888888889,10.1162964470244,5.8,0.0685666666666667,8884.41666666667,3557.25020153333,719.45120151,0.885980409294737,0.00414787934257439,0.844806367,3,0.0149131413314731,199.248588451713,0.218613469985862,3.00795644296017,0,0.0144780293318301,7857.99257258706,5956.35646733826,735.817738593337,0.0786344362932463,0.00184494882147588,1.3718791155814,0.844806367,2.71947489716371,2.39491269153119,-2.41770359288182,-0.735885721437074,1.12623123964924,1.05444681708641,0.226416862997333,0.979718938085667,"Marsh","Marsh","Cooper 2005",TRUE
"MarshKnutson et al 1982",0.146406146670835,10.5396774193548,0.449838709677419,1.00885744438549,1.6,0.457096774193548,260.193548387097,55.1739677280645,751.765776322581,0.665006764564351,0.172769400379383,10.1282326512258,31,0.0268231585047403,8.43977980908308,0.136769172153716,0.337853559769,0,0.0835142122989493,63.3405711766893,24.5947558697455,328.765421239453,0.260192846440348,0.133597892834252,12.1969118324098,10.1282326512258,1.70538257968063,2.84569863884167,-0.859812872053128,0.743421767092156,0.176236503831134,0.15611625685408,0.295679007879252,0.556791568997584,"Marsh","Marsh","Knutson et al 1982",TRUE
"MarshMoller 2006",0.075636855360921,10,0.414666666666667,4.03040964879966,2.37,0.140038877766667,6326.66666666667,1299.41162529133,388.6839110894,0.125020214136272,0.0139982684779813,2.50180299466667,30,0.012170460753091,0,0.152139530634248,2.93880441751821,0.269290254891094,0.0695158312757111,3231.09176950895,1699.52941783233,332.522796937367,0.096181375390237,0.0118426333213342,5.66277053391875,2.5765694513,2.58557694920752,2.1561518639563,-1.90118017172441,-0.496310761247894,0.731615847892744,0.815976469782779,0.271212169443481,1.02483249117838,"Marsh","Marsh","Moller 2006",TRUE
"MarshMoller et al. 1999",0.331300740189333,377,1.008205643,2.5205141075,3.11,0.4,11373.6944444444,139.94762366,1754.29333072,0.623273354396296,0.00233656795297971,0.0064863296,10,0.0825256798416913,0,0.166799599764153,0.416998999410381,0,0,0,41.1824035349391,536.480230963595,0.101118681851471,0.000590285968949764,0.00890307587746735,0.0064863296,2.12632019544346,3.22386866795516,-2.64502472284997,-2.40716180445503,0.144182077940747,0.144560729589278,0.117440028163551,0.421994037551642,"Marsh","Marsh","Moller et al. 1999",TRUE
"MarshMorgan et al. 2009 Estuaries and Coasts",0.0790812274778713,7,NA,NA,NA,1.8,528.25,NA,NA,0.632167,0.142647075803048,NA,2,0,0,NA,NA,NA,0,0,NA,NA,0.00952755676970753,0.00856555380500322,NA,NA,NA,NA,-0.846128959955789,NA,NA,NA,0.0260938448756656,NA,"Marsh","Marsh","Morgan et al. 2009 Estuaries and Coasts",TRUE
"MarshShi et al. 2000",0.078233295724,128,0.265,0.42741935483871,6.7,0.62,1000,356.4586062,284.2028688,0.4,0.0039908251856718,0.013133855,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013133855,2.55200910461515,2.45362845746802,-2.39893729565895,-1.88160778270713,NA,NA,NA,NA,"Marsh","Marsh","Shi et al. 2000",TRUE
"MarshTschirky et al. 2001",0.0970419974834286,8.17904428571429,0.582981428571429,0.364363392857143,1.65714285714286,1.6,117.307035714286,34.7666355421214,629.323667062143,0.246597857142857,0.0356090998958423,3.24301776802857,140,0.0205340572442921,2.71534525494719,0.149160444534641,0.0932252778341509,0.317848626281738,0,43.7529630933552,14.6993292395439,190.385564338233,0.107865998315027,0.0122675204085085,2.46318352485845,3.24301776802857,1.49859294978074,2.77429129409273,-1.48220587006772,0.41622549510215,0.2017638528896,0.156688192915915,0.188522024327282,0.280545790862701,"Marsh","Marsh","Tschirky et al. 2001",TRUE
"MarshWayne 1976",0.0384,20,0.2949,NA,5,1.8,270,NA,NA,0.71875,0.0652383705960308,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18549689450469,NA,NA,NA,NA,NA,"Marsh","Marsh","Wayne 1976",TRUE
"MarshYang 1998",0.057,2.5,0.23,0.425925925925926,3.4,0.54,1235,NA,NA,0.56140350877193,0.32967017718654,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.481920338477512,NA,NA,NA,NA,NA,"Marsh","Marsh","Yang 1998",TRUE
"MarshYang et al. 2008 ECSS",0.34346324952,215,0.2225,0.217073170731707,NA,1.025,528.25,NA,NA,0.527777777777778,0.00199148303308234,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.70082338931496,NA,NA,NA,NA,NA,"Marsh","Marsh","Yang et al. 2008 ECSS",TRUE
"Seagrass (Art.)Bouma et al. 2005",0.032,2,0.12,1.2,1,0.1,1150,22.70601737,489.02814855,0.125,0.0680444714789538,0.5837779865,2,0,0,0,0,0,0,989.949493661167,1.07037192986603,23.0530079525563,0.0883883476483184,0.0505937884659178,0.0951670656970363,0.5837779865,1.35589955689574,2.68909244906118,-1.23746564507928,-0.236657002050739,0.0204804259214322,0.020480425760081,0.358850102640518,0.071114477932762,"Seagrass (Art.)","Seagrass","Bouma et al. 2005",FALSE
"Seagrass (Art.)Cox et al. 2003",0.0449210526315789,12,0.427492138763158,1.33591293363487,1.71963157894737,0.32,368.421052631579,10.6912958259474,471.776852758158,0.458904941520468,0.0566657552520346,3.05814766826316,38,0.00416148088861937,0,0.0511813742713395,0.159941794597936,0.960397988478274,0,70.1552839715747,8.7611272579151,164.696648475509,0.167582225697311,0.033816956415904,2.75912252376169,3.05814766826316,0.815735876626727,2.61613543567386,-1.30995054690814,0.409908378048987,0.577157082968168,0.297134505264048,0.234161771055044,0.216175046259098,"Seagrass (Art.)","Seagrass","Cox et al. 2003",FALSE
"Seagrass (Art.)Ota et al. 2004",0.11,4.8,0.45,2.25,1.7,0.2,4000,25.290051535,506.5828208,0.718249895230911,0.339450454915156,3.8925076045,2,0.0183847763108502,0,0,0,0.424264068711929,0,0,11.272809449832,67.2539893058301,0.0674483620705097,0.0545882714872822,0.256994615714283,3.8925076045,1.38022955904176,2.70272833923218,-0.472049742469285,0.589755678331532,0.200404612872335,0.0578272527040054,0.0701438687730957,0.0286942370044368,"Seagrass (Art.)","Seagrass","Ota et al. 2004",FALSE
"Seagrass (Art.)Price et al. 1968",0.07540752,13.33051944,0.136920816666667,1.79686111111111,1.33,0.0762,569,NA,NA,0.120452708164915,0.0079128199531946,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.10166871601439,NA,NA,NA,NA,NA,"Seagrass (Art.)","Seagrass","Price et al. 1968",FALSE
"Seagrass (Art.)Wallace & Cox 2000",0.03,5,0.365918367428571,1.10884353766234,1.06542857142857,0.33,400,4.35072433157143,311.719675802857,0.133285714285714,0.0290828869134179,0.845281717714286,7,0,0,0.0335985562024937,0.101813806674223,0.331163029912689,0,0,3.04084757584054,162.972991298957,0.0637095343092756,0.014951706884677,0.35263776315373,0.845281717714286,0.472744139763097,2.41081955826259,-1.58643628778947,-0.118584929222238,0.483719801815391,0.327656124466663,0.226207108816984,0.235722052668326,"Seagrass (Art.)","Seagrass","Wallace & Cox 2000",FALSE
"SeagrassBouma et al. 2005",0.032,2,0.12,1.2,1,0.1,13400,18.92168114,407.5234571,0.4375,0.287682072451781,0.201101291,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201101291,1.27695971966568,2.61015261183893,-0.541087201293047,-0.696585141375528,NA,NA,NA,NA,"Seagrass","Seagrass","Bouma et al. 2005",TRUE
"SeagrassBradley & Houser 2009",0.0565685424949238,43.3,0.938,3.41090909090909,1.3,0.275,1100,4.972719508,469.374325766667,0.212916666666667,0.00397522640659739,1.542589534,3,0,0,0,0,0,0,0,0.374264171898449,37.124683021904,0.150438594892844,0.00470919313412244,1.9895773171652,1.554728399,0.695758407594222,2.67059538814515,-2.82333415101812,0.262534281702799,0.0331477149852054,0.0348676988296124,0.925158598027003,0.444969793691098,"Seagrass","Seagrass","Bradley & Houser 2009",TRUE
"SeagrassFonseca & Cahalan 1992",0.03496,1,0.1416,0.570534091590454,0.55,0.24528,1438.4,19.72789099296,186.69815445864,0.256492791538579,0.310858198788681,4.86789331028,25,0.00976165969494942,0,0.0717449185192466,0.144288215820589,0,0.0990401938608765,882.91505820209,18.3788712010012,203.760796457117,0.122606374920694,0.178365345781817,4.90635507219683,4.86789331028,1.07936964356655,1.94894273940038,-0.572160234010223,0.49096374971875,0.460467232679298,0.585002283120502,0.240071388921659,0.437627354635422,"Seagrass","Seagrass","Fonseca & Cahalan 1992",TRUE
"SeagrassHuber 2003",0.135032896473963,280,0.54438197,2.06996507958915,1.5,0.26878697684,574.456857504,49.229142392,1389.178757664,0.173131999944259,0.000929713099657727,0.06799143108,25,0.0577155423213269,0,0.20637197141547,0.933359893777756,0,0.0154953848415924,295.882905170356,44.5019624452071,1044.10114876852,0.296176860989918,0.00142790735005664,0.141784175305477,0.0782563802,1.56482172871599,3.04988423029057,-2.90744677036941,-1.13295123832239,0.318180178909083,0.277386361325623,0.372408873883064,0.446954590513107,"Seagrass","Seagrass","Huber 2003",TRUE
"SeagrassKoch 1996",NA,27.5,0.4925,2.01799748239377,2.857142857,0.2435,459,NA,NA,NA,NA,NA,2,NA,31.8198051533946,0.081317279836453,0.0702463784256381,0,0.0318198051533947,7.07106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass","Seagrass","Koch 1996",TRUE
"SeagrassPrager & Halley 1999",0.123074331078,728,1.5,NA,NA,0.238333333333333,550.916666625,NA,NA,0.37984496124031,0.000656299134186525,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.18289816867963,NA,NA,NA,NA,NA,"Seagrass","Seagrass","Prager & Halley 1999",TRUE
"SeagrassWayne 1976",0.2268,20,0.6885,NA,5,0.238333333333333,550.916666625,NA,NA,0.421957671957672,0.0280218846674176,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5525026587314,NA,NA,NA,NA,NA,"Seagrass","Seagrass","Wayne 1976",TRUE
