kk,id,StudyID,PairID,Study,LF,Location,Hab2,Species,Description,WaveType,WaveTypeVerbose,Friction.Coef.mean,Type.of.Friction.Coefficient,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Notes
11,292,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs8",1,"Hrms",0.25,"Drag coefficient Cd",14.8,4,0.01,10.5,0.617304219975856,63,13,0.74953318805774,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
12,293,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs9",1,"Hrms",0.25,"Drag coefficient Cd",14.8,4,0.01,10.5,0.578413347010596,63,13,0.65336666581637,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
13,294,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs10",1,"Hrms",0.25,"Drag coefficient Cd",14.7,4,0.01,10.5,0.546593541857201,63,13,0.634274782724333,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
14,295,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs11",1,"Hrms",0.25,"Drag coefficient Cd",14.7,4,0.01,10.5,0.512652416360247,63,13,0.597505230102633,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
15,296,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs12",1,"Hrms",0.25,"Drag coefficient Cd",13.2,4,0.01,10.5,0.456083873865323,63,13,0.557200143575,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
16,297,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs13",1,"Hrms",0.25,"Drag coefficient Cd",14.7,4,0.01,10.5,0.494974746830583,63,13,0.542350901170082,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
17,298,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs14",1,"Hrms",0.25,"Drag coefficient Cd",13.8,4,0.01,10.5,0.407293505963451,63,13,0.446184378928711,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
18,299,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs15",1,"Hrms",0.25,"Drag coefficient Cd",13.8,4,0.01,10.5,0.383251875403109,63,13,0.427799602617861,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
19,300,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs16",1,"Hrms",0.25,"Drag coefficient Cd",13.8,4,0.01,10.5,0.346482322781408,63,13,0.372645273685311,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
20,797,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","270.7914468 hr",1,"Hrms",NA,"",14.90207639,9,0.01,11.8,0.662294268849008,35,11.134,0.744708403415987,128,7.715307756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
21,798,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","270.9164583 hr",1,"Hrms",NA,"",14.48260251,9,0.01,11.8,0.640418999080621,35,11.985,0.626200048925491,128,8.568535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
22,799,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.0414583 hr",1,"Hrms",NA,"",13.66729591,9,0.01,11.8,0.523353366740057,35,12.396,0.6292630894851,128,8.9809325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
23,800,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.1664583 hr",1,"Hrms",NA,"",13.983813,9,0.01,11.8,0.563784524783137,35,11.832,0.656973693961663,128,8.4272075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
24,801,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.2914583 hr",1,"Hrms",NA,"",13.17309686,9,0.01,11.8,0.515597966565896,35,11.767,0.513202782662462,128,8.3723825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
25,802,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.4164583 hr",1,"Hrms",NA,"",14.95113173,9,0.01,11.8,0.608888595742394,35,12.615,0.580963206522744,128,9.2225725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
26,803,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.5414583 hr",1,"Hrms",NA,"",9.040047775,9,0.01,11.8,0.543346934933366,35,12.829,0.542818143684728,128,9.4275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
27,804,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.6664583 hr",1,"Hrms",NA,"",9.846262062,9,0.01,11.8,0.599442116096638,35,11.796,0.586212370630191,128,8.40077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
28,805,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.7914583 hr",1,"Hrms",NA,"",13.75851917,9,0.01,11.8,0.617112632439234,35,11.055,0.45899071508985,128,7.6694675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
29,806,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","271.9164583 hr",1,"Hrms",NA,"",13.90101498,9,0.01,11.8,0.582035016985131,35,11.576,0.396797811422995,128,8.1870475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
30,807,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.0414699 hr",1,"Hrms",NA,"",15.46839526,9,0.01,11.8,0.824669286846877,35,12.249,0.686579481899913,128,8.857029769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
31,808,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.1664583 hr",1,"Hrms",NA,"",14.1977475,9,0.01,11.8,0.694848097264347,35,12.069,0.594324856187975,128,8.67938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
32,809,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.2914583 hr",1,"Hrms",NA,"",12.35638001,9,0.01,11.8,0.453283238392566,35,11.845,0.51485228113738,128,8.4665975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
33,810,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.4164468 hr",1,"Hrms",NA,"",12.58901772,9,0.01,11.8,0.52305903781651,35,12.456,0.670527806120956,128,9.072353696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
34,811,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.5414583 hr",1,"Hrms",NA,"",10.4900946,9,0.01,11.8,0.450576461766973,35,12.914,0.540489832075975,128,9.52164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
35,812,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.6664583 hr",1,"Hrms",NA,"",10.7134065,9,0.01,11.8,0.478003528744477,35,12.199,0.507097659479917,128,8.8133775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
36,813,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.7914583 hr",1,"Hrms",NA,"",12.55798501,9,0.01,11.8,0.450001828669235,35,11.214,0.481577733255507,128,7.837335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
37,814,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","272.9164583 hr",1,"Hrms",NA,"",12.26433,9,0.01,11.8,0.539475722485443,35,11.281,0.558702053885392,128,7.9044375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
38,815,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.0414583 hr",1,"Hrms",NA,"",10.90444588,9,0.01,11.8,0.506455642708881,35,12.022,0.637491050249566,128,8.64342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
39,816,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.1664583 hr",1,"Hrms",NA,"",10.18450118,9,0.01,11.8,0.515772369571485,35,12.204,0.499047923703756,128,8.821695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
40,817,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.2914583 hr",1,"Hrms",NA,"",11.89753081,9,0.01,11.8,0.497850457211532,35,11.997,0.603477279772655,128,8.6195375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
41,818,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.4164583 hr",1,"Hrms",NA,"",12.66867036,9,0.01,11.8,0.493285639812494,35,12.26,0.468142729380824,128,8.8849825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
42,819,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.5414583 hr",1,"Hrms",NA,"",13.24357333,9,0.01,11.8,0.637142168867284,35,12.777,0.772845123664938,128,9.3981375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
43,820,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.6664699 hr",1,"Hrms",NA,"",12.10635743,9,0.01,11.8,0.613021794324535,35,12.495,0.443320377016189,128,9.115167299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
44,821,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.7914583 hr",1,"Hrms",NA,"",11.08086432,9,0.01,11.8,0.467914677415659,35,11.502,0.467854379580012,128,8.126455692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
45,822,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","273.9164583 hr",1,"Hrms",NA,"",13.54899305,9,0.01,11.8,0.48137595622893,35,11.1,0.509776620352621,128,7.7269625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
46,823,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.0414699 hr",1,"Hrms",NA,"",10.90414331,9,0.01,11.8,0.443411818381986,35,11.668,0.418889308480118,128,8.2946879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
47,824,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.1664699 hr",1,"Hrms",NA,"",11.71360154,9,0.01,11.8,0.554099147366048,35,12.183,0.489095363362671,128,8.80716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
48,825,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.2914699 hr",1,"Hrms",NA,"",11.62561595,9,0.01,11.8,0.488956667178128,35,12.12,0.587032911011747,128,8.7445025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
49,826,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.4164583 hr",1,"Hrms",NA,"",11.47441573,9,0.01,11.8,0.58520737712674,35,12.131,0.629655723315047,128,8.762857487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
50,827,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.5414583 hr",1,"Hrms",NA,"",8.744772913,9,0.01,11.8,0.518686369024288,35,12.552,0.525852616191837,128,9.1808425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
51,828,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.6664699 hr",1,"Hrms",NA,"",8.939932878,9,0.01,11.8,0.674984663480023,35,12.667,0.567839435687872,128,9.291190075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
52,829,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.7914583 hr",1,"Hrms",NA,"",10.85922941,9,0.01,11.8,0.566559517026342,35,11.894,0.554321535049789,128,8.516929977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
53,830,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","274.9164583 hr",1,"Hrms",NA,"",13.49140219,9,0.01,11.8,0.632582598823448,35,11.107,0.622989314398265,128,7.735858044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
54,831,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.0414583 hr",1,"Hrms",NA,"",13.81740951,9,0.01,11.8,0.916916932622333,35,11.344,1.01737760614342,128,7.986065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
55,832,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.1664583 hr",1,"Hrms",NA,"",11.72893876,9,0.01,11.8,0.76176656867166,35,12.07,0.71763335478511,128,8.7234425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
56,833,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.2914583 hr",1,"Hrms",NA,"",12.716875,9,0.01,11.8,0.929198987612252,35,12.249,0.713337399463733,128,8.909635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
57,834,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.4164583 hr",1,"Hrms",NA,"",12.3444075,9,0.01,11.8,0.750679384164238,35,12.071,1.03293188130661,128,8.7373125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
58,835,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.5414583 hr",1,"Hrms",NA,"",12.40199999,9,0.01,11.8,0.864781119474361,35,12.292,0.739583610213384,128,8.9652675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
59,836,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.6664583 hr",1,"Hrms",NA,"",12.275,9,0.01,11.8,0.7342789185932,35,12.698,0.604175420346792,128,9.369955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
60,837,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.7914583 hr",1,"Hrms",NA,"",11.84309006,9,0.01,11.8,0.605835112047703,35,12.28,0.637242234976903,128,8.946264601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
61,838,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","275.9164583 hr",1,"Hrms",NA,"",13.14686635,9,0.01,11.8,0.876232470432732,35,11.334,0.853886912655875,128,8.008065656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
62,839,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.0414468 hr",1,"Hrms",NA,"",12.51004782,9,0.01,11.8,0.826211818463054,35,11.144,0.64970275728753,128,7.829313416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
63,840,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.1664699 hr",1,"Hrms",NA,"",11.8320458,9,0.01,11.8,0.715550917067914,35,11.903,0.775527909382551,128,8.595274234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
64,841,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.2914699 hr",1,"Hrms",NA,"",12.46800336,9,0.01,11.8,0.824241293475391,35,12.404,0.78885465459505,128,9.096303807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
65,842,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.4164699 hr",1,"Hrms",NA,"",11.73192177,9,0.01,11.8,0.879810403428149,35,12.142,0.835084828969862,128,8.837955501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
66,843,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.5414583 hr",1,"Hrms",NA,"",11.46075891,9,0.01,11.8,0.738876555813858,35,12.066,0.843333644632026,128,8.7695025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
67,844,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.6664583 hr",1,"Hrms",NA,"",9.968992644,9,0.01,11.8,1.01247146164546,35,12.572,0.684633706301572,128,9.270165992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
68,845,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.7914699 hr",1,"Hrms",NA,"",11.53690591,9,0.01,11.8,0.758992625899495,35,12.58,0.720065495334192,128,9.27797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
69,846,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","276.9164699 hr",1,"Hrms",NA,"",11.75496154,9,0.01,11.8,0.690087696626,35,11.653,0.727195958401465,128,8.36093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
70,847,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.0414583 hr",1,"Hrms",NA,"",10.88979016,9,0.01,11.8,0.619567917641011,35,11.074,0.695755089253936,128,7.779342903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
71,848,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.1664468 hr",1,"Hrms",NA,"",11.500949,9,0.01,11.8,0.772902792098597,35,11.695,0.78259993694824,128,8.403194264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
72,849,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.2914583 hr",1,"Hrms",NA,"",11.1768857,9,0.01,11.8,0.623507918145297,35,12.421,0.596829858649184,128,9.120615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
73,850,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.4164583 hr",1,"Hrms",NA,"",12.1484254,9,0.01,11.8,0.721384354141637,35,12.238,0.552456439922825,128,8.9364325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
74,851,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.5414583 hr",1,"Hrms",NA,"",10.44569449,9,0.01,11.8,0.600901453281265,35,11.894,0.562966777902678,128,8.603505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
75,852,43,NA,"Rosman et al. 2007","field","Santa Cruz, CA","Kelp","Macrocystis pyrifera","277.6664583 hr",1,"Hrms",NA,"",8.606845143,9,0.01,11.8,0.699452317530621,35,12.351,0.575262740292008,128,9.05755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
